video,condition,mean_flow,median_flow,max_flow,sd_flow,mean_p90,median_p90,mean_pxsec,duration_sec
P105_Whole_cropped,Whole,7.681574871876096,7.505023002624512,30.22257804870605,2.4382433004987982,22.431178481946855,21.365671157836918,28.806865966394348,595.9801339955335
P106_Center_cropped - Trim,Center,7.158051379992591,7.348517417907715,14.232877731323242,2.8282066222811646,21.6426050937795,22.282377243041992,26.842692674972213,328.53333333333336
P108_Center_cropped,Center,6.750872139511019,6.872677326202393,14.53304672241211,2.9277083103568176,20.512678493191654,21.00416755676269,25.31661438218376,597.5800806639778
P109_Whole_cropped - Trim,Whole,7.675322018159147,7.75367259979248,14.985952377319336,2.8602300350104453,22.572387122792122,22.799776077270508,28.783266889196895,201.32767229021945
P10_Center_cropped - Trim,Center,7.19520186553197,7.3353540897369385,14.652195930480955,3.0356482224949293,20.985004910287,21.387578010559082,26.982969652558403,597.8453369009793
P115_Center_cropped,Center,7.7970669483571475,8.039090156555176,16.269094467163086,3.0441365491831824,22.746046820691205,23.208641052246094,29.239001056339305,597.6
P116_Whole_cropped,Whole,7.604909303616698,7.550627708435059,14.810392379760742,2.554686504145796,22.067457606701584,21.034408569335938,28.525064184203284,146.8990568867264
P119_Center_cropped,Center,6.801789877013252,6.98123025894165,14.838154792785645,2.9433544125721816,20.685004012156046,21.528916358947754,25.506712038799694,596.2666666666667
P11_Center_cropped00000788,Center,7.7857778863090825,8.000773668289185,14.583072662353516,2.8128132565847657,24.107021792005277,24.57303524017334,29.19666707365906,596.8
P120_Center_cropped,Center,7.414235566503853,7.677678346633911,15.073153495788574,2.8386516942402213,22.60840889674356,23.767584800720215,27.804310153835267,596.7801073297557
P12_Center_cropped00002036,Center,6.910128744244042,6.963790416717529,14.715865135192873,2.876710943297355,21.64834917253325,21.989638328552246,25.91298279091516,595.7333333333333
P133_Center_cropped00000240,Center,6.6380950180680625,6.66671085357666,14.194802284240724,2.8116936566433286,20.657161180196063,20.90154266357422,24.892856317755236,597.3333333333334
P134_Center_cropped00000647,Center,6.735540536099246,6.889872789382935,14.554086685180664,2.927951603678835,20.61357119072761,21.03198528289795,25.258277010372176,597.3333333333334
P136_Whole_cropped00001366,Whole,8.01697475668043,7.980104684829712,16.14977264404297,2.5115115301008144,23.356143753017697,22.696456909179688,30.06365533755161,597.3333333333334
P137_Center_cropped00001285,Center,6.678524896416054,6.783821105957031,13.558951377868652,2.849882782205305,20.51989359243381,20.96518325805664,25.0444683615602,597.6
P139_Whole_cropped00000673,Whole,8.359790140642929,8.039477348327637,15.267756462097168,2.330023057409729,23.028158105395246,21.377857208251957,31.349213027410983,459.4666666666666
P13_Center_cropped00000453,Center,6.922464288218518,6.918434381484985,15.109644889831545,3.066313236922827,20.93372361424568,21.187039375305176,25.959241080819442,596.8
P140_Whole_cropped00000697,Whole,8.020892895332404,7.746387720108032,15.348187446594238,2.2723334880231625,23.35900828040072,22.002429962158203,30.078348357496516,597.3333333333334
P141_Center_cropped00000687,Center,7.30227411582676,7.446905612945557,14.105636596679688,2.878239834589913,21.58714956333484,21.94802474975586,27.38352793435035,336.26666666666665
P142_Whole_cropped00000707,Whole,7.826966979318349,7.59445333480835,15.110203742980955,2.2414197084666116,22.40286540495279,21.12572479248047,29.35112617244381,597.0666666666667
P14_Whole_cropped00000269,Whole,8.59449969267387,8.690560340881348,16.093006134033203,2.837918774317543,24.5782829813516,24.419700622558597,32.22937384752701,596.5333333333333
P17_Whole_cropped00000675,Whole,7.9077147514040265,7.857633590698242,16.128629684448242,2.629554824297358,22.881610622154927,21.806276321411133,29.6539303177651,597.6
P18_Center_cropped00001155,Center,7.210958220330732,7.41204833984375,14.24947452545166,3.0147220810448285,21.29579729916794,22.007369995117188,27.041093326240247,597.3333333333334
P1_Center_cropped,Center,6.9672171070099305,7.025713920593262,13.883030891418455,2.8511483081201283,21.357296792747828,21.565746307373047,26.12706415128724,596.5333333333333
P20_Whole_cropped00001571,Whole,8.198034479249966,8.083192825317383,17.26447296142578,2.5439306914805724,23.0744702080859,22.05101585388184,30.74262929718737,597.6
P21_Center_cropped00000694,Center,7.650932760350406,7.850745439529419,15.524292945861816,3.055764834710435,22.26254959244813,22.605226516723633,28.690997851314023,597.3333333333334
P27_Whole_cropped00000677,Whole,7.01634412231385,6.916524887084961,13.538097381591797,2.4546045503673017,21.231198600773062,20.363147735595703,26.31129045867694,253.06666666666663
P29_Center_cropped00000773,Center,8.152527769814645,8.51542043685913,15.15357494354248,3.054265845658594,22.9189547468509,23.80182647705078,30.571979136804917,597.3333333333334
P2_Whole_cropped - Trim,Whole,7.478812850394826,7.535780906677246,15.940542221069336,2.708554320458695,22.076179819122242,21.407097816467285,28.045734255020903,502.3966668878127
P33_Whole_cropped00000717,Whole,6.972296751929282,7.001908302307129,14.560161590576172,2.579749582538734,22.60669293616864,22.264175415039062,26.146112819734807,280.26666666666665
P35_Whole_cropped00000557,Whole,7.8751827181687,7.685855388641357,15.455977439880373,2.3877113531691987,22.617139960406202,21.30728912353516,29.531935193132625,427.4666666666666
P36_Center_cropped00001184,Center,6.909730343162242,7.008007526397705,14.319022178649902,3.0173507611207775,20.54669129869758,21.184919357299805,25.911488786858406,597.6
P38_Whole_cropped00001061,Whole,8.161002959856772,8.434989929199219,14.853763580322266,2.884731734459965,23.14119265493215,23.249945640563965,30.603761099462893,388.8
P39_Center_cropped00000554,Center,6.536942573723855,6.60201358795166,14.82444667816162,2.855723487164998,20.278210303920083,20.683395385742188,24.513534651464457,595.4666666666667
P3_Center_cropped00002956,Center,6.486482614084285,6.563769817352295,13.957354545593262,2.8892293575785906,19.825257850961595,20.01311492919922,24.32430980281607,596.5333333333333
P40_Whole_cropped00000381,Whole,7.592123468220234,7.664818286895752,14.571887969970703,2.8202400092827533,22.688724253965276,22.438100814819336,28.470463005825877,597.3333333333334
P41_Center_cropped,Center,6.8272506362928915,6.885069370269775,14.996545791625977,2.9400099370510087,20.937300751611343,21.51365089416504,25.602189886098344,561.3333333333334
